latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.64024,-115.42222,336.74,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,293.67,2.74,N
37.63987,-115.41505,321.12,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,292.82,2.7,N
37.64057,-115.4287,299.48,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,289.24,2.74,N
37.64456,-115.41924,336.06,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,292.05,4.01,N
37.6391,-115.41968,339.28,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,295.68,2.17,N
34.60629,-117.33533,303.55,0.47,0.64,2025-07-01,0845,N20,VIIRS,n,2.0NRT,291.19,0.84,N
33.71575,-117.71169,302.26,0.48,0.65,2025-07-01,0845,N20,VIIRS,n,2.0NRT,287.69,0.69,N
34.15163,-118.19743,301.12,0.52,0.67,2025-07-01,0845,N20,VIIRS,n,2.0NRT,286.64,0.64,N
34.43327,-118.64594,298.84,0.55,0.68,2025-07-01,0845,N20,VIIRS,n,2.0NRT,287.55,0.39,N
37.63949,-115.42647,315.76,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,291.23,2.17,N
37.63868,-115.41264,299.35,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,288.82,2.32,N
37.63405,-115.42735,305.36,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,288.45,2.17,N
37.63369,-115.42128,311.23,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,289.98,2.17,N
36.35728,-114.91035,312.72,0.35,0.57,2025-07-01,0845,N20,VIIRS,n,2.0NRT,297.38,2.93,N
36.35759,-114.91373,306.72,0.35,0.57,2025-07-01,0845,N20,VIIRS,n,2.0NRT,296.34,1.39,N
36.35732,-114.90987,309.75,0.35,0.57,2025-07-01,0845,N20,VIIRS,n,2.0NRT,297.08,1.39,N
34.62197,-117.10059,303,0.45,0.63,2025-07-01,0845,N20,VIIRS,n,2.0NRT,292.27,0.64,N
34.61035,-117.33772,316.9,0.47,0.64,2025-07-01,0845,N20,VIIRS,n,2.0NRT,292.73,1.76,N
34.60659,-117.34089,301.31,0.47,0.64,2025-07-01,0845,N20,VIIRS,n,2.0NRT,289.42,0.84,N
39.62007,-119.26744,301.24,0.65,0.73,2025-07-01,0845,N20,VIIRS,n,2.0NRT,290.1,0.67,N
37.64571,-115.42178,322.13,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,290.55,2.74,N
37.64535,-115.41482,307.32,0.39,0.59,2025-07-01,0845,N20,VIIRS,n,2.0NRT,289.57,2.7,N
32.71577,-114.75581,323.44,0.63,0.54,2025-07-01,0848,N20,VIIRS,n,2.0NRT,298.44,5.3,N
32.51226,-116.77009,298.94,0.42,0.61,2025-07-01,0848,N20,VIIRS,n,2.0NRT,287.96,0.32,N
32.39824,-114.76347,316.26,0.63,0.54,2025-07-01,0848,N20,VIIRS,n,2.0NRT,297.57,3.87,N
32.4229,-115.00495,340.1,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,296.7,3,N
32.42826,-115.00786,305.97,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,295.01,1.39,N
32.42797,-115.00436,326.97,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,295.68,2.14,N
32.56942,-115.02052,349.81,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,296.14,4.55,N
32.58225,-115.12272,326.53,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,296.04,2.01,N
32.58737,-115.12214,336.91,0.33,0.55,2025-07-01,0848,N20,VIIRS,n,2.0NRT,296.82,2.36,N
37.64166,-115.41457,339.53,0.47,0.64,2025-07-01,1026,N20,VIIRS,n,2.0NRT,295.35,3.51,N
37.63586,-115.41618,305.82,0.47,0.64,2025-07-01,1026,N20,VIIRS,n,2.0NRT,289.98,3.51,N
40.82079,-114.25742,314.19,0.44,0.62,2025-07-01,1026,N20,VIIRS,n,2.0NRT,291.46,1.9,N
42.23431,-120.19917,324.43,0.41,0.45,2025-07-01,1026,N20,VIIRS,n,2.0NRT,288.93,2.73,N
42.73264,-122.85047,316.94,0.47,0.4,2025-07-01,1026,N20,VIIRS,n,2.0NRT,289.53,2.49,N
42.38479,-122.77634,303.55,0.48,0.4,2025-07-01,1026,N20,VIIRS,n,2.0NRT,291.44,1.19,N
41.81769,-123.19126,331.95,0.47,0.4,2025-07-01,1026,N20,VIIRS,n,2.0NRT,289.35,6.16,N
41.5217,-123.14588,315.13,0.48,0.4,2025-07-01,1026,N20,VIIRS,n,2.0NRT,287.32,1.2,N
37.33744,-113.50693,297.01,0.6,0.71,2025-07-01,1026,N20,VIIRS,n,2.0NRT,285.52,0.62,N
37.33884,-113.50423,297.92,0.6,0.71,2025-07-01,1026,N20,VIIRS,n,2.0NRT,285.92,1.01,N
39.6204,-119.26398,306.12,0.52,0.5,2025-07-01,1026,N20,VIIRS,n,2.0NRT,293.19,1.07,N
37.91468,-121.04782,303.1,0.46,0.47,2025-07-01,1026,N20,VIIRS,n,2.0NRT,287.99,0.83,N
37.88506,-121.18633,303.15,0.46,0.47,2025-07-01,1026,N20,VIIRS,n,2.0NRT,288.26,0.65,N
37.45589,-121.93161,303.91,0.43,0.46,2025-07-01,1026,N20,VIIRS,n,2.0NRT,286.98,0.47,N
36.08385,-119.14045,302.57,0.32,0.55,2025-07-01,1026,N20,VIIRS,n,2.0NRT,289.66,0.32,N
37.64264,-115.41804,309.07,0.47,0.64,2025-07-01,1026,N20,VIIRS,n,2.0NRT,290,3.17,N
