latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
32.58936,-115.12576,323.7,1.14,1.06,2025-07-01,0451,Terra,MODIS,100,6.1NRT,301.81,20.06,N
32.59077,-115.11388,314.57,1.14,1.06,2025-07-01,0451,Terra,MODIS,85,6.1NRT,301.74,9.59,N
32.40905,-114.93741,323.53,1.16,1.07,2025-07-01,0451,Terra,MODIS,100,6.1NRT,301.85,21.72,N
37.64835,-115.41371,314.36,1.26,1.11,2025-07-01,0451,Terra,MODIS,89,6.1NRT,293.49,17.4,N
37.63718,-115.42506,349.48,1.25,1.11,2025-07-01,0451,Terra,MODIS,100,6.1NRT,301.33,85.13,N
37.63849,-115.4127,358.06,1.26,1.11,2025-07-01,0451,Terra,MODIS,100,6.1NRT,302.33,112.97,N
37.63908,-115.41282,303.39,1.32,1.14,2025-07-01,1108,Aqua,MODIS,55,6.1NRT,288.91,10.53,N
42.41814,-119.57478,326.73,2.7,1.57,2025-07-01,1828,Terra,MODIS,77,6.1NRT,307.99,52.27,D
42.42546,-119.60574,336.57,2.69,1.57,2025-07-01,1828,Terra,MODIS,86,6.1NRT,309.11,105.24,D
42.22673,-120.20193,314.64,2.52,1.53,2025-07-01,1828,Terra,MODIS,33,6.1NRT,300.79,23.24,D
42.23471,-120.19299,314.38,2.52,1.53,2025-07-01,1828,Terra,MODIS,35,6.1NRT,299.68,24.46,D
32.41773,-114.86865,337.92,1.05,1.02,2025-07-01,2210,Aqua,MODIS,63,6.1NRT,319.11,13.8,D
32.27831,-115.15546,341.08,1.03,1.02,2025-07-01,2210,Aqua,MODIS,78,6.1NRT,319.92,15.31,D
36.51601,-118.89164,328.52,1.03,1.01,2025-07-01,2210,Aqua,MODIS,51,6.1NRT,313.48,12.86,D
36.52479,-118.89387,339.39,1.03,1.01,2025-07-01,2210,Aqua,MODIS,84,6.1NRT,313.33,29.15,D
36.52306,-118.90479,328.22,1.03,1.01,2025-07-01,2210,Aqua,MODIS,50,6.1NRT,312.75,11.63,D
42.43081,-119.60062,390.75,1,1,2025-07-01,2212,Aqua,MODIS,100,6.1NRT,317.1,187.67,D
42.42908,-119.61231,422.13,1,1,2025-07-01,2212,Aqua,MODIS,75,6.1NRT,320.52,398.44,D
42.42042,-119.60995,338.13,1,1,2025-07-01,2212,Aqua,MODIS,61,6.1NRT,296.27,26.28,D
42.42215,-119.59826,362.65,1,1,2025-07-01,2212,Aqua,MODIS,100,6.1NRT,316.17,79.34,D
42.42388,-119.58656,377.88,1,1,2025-07-01,2212,Aqua,MODIS,100,6.1NRT,315.81,129.48,D
42.41176,-119.60757,344.32,1,1,2025-07-01,2212,Aqua,MODIS,64,6.1NRT,300,39.53,D
42.41349,-119.59589,348.77,1,1,2025-07-01,2212,Aqua,MODIS,91,6.1NRT,311.84,47.18,D
39.45404,-119.76019,382.74,1.03,1.01,2025-07-01,2212,Aqua,MODIS,87,6.1NRT,287.81,159.42,D
39.45585,-119.74872,380.94,1.03,1.01,2025-07-01,2212,Aqua,MODIS,94,6.1NRT,288.02,149.43,D
35.1356,-120.00927,334.71,1.99,1.38,2025-07-02,2248,Aqua,MODIS,75,6.1NRT,312.46,45.05,D
35.11346,-119.98315,452.41,2,1.38,2025-07-02,2248,Aqua,MODIS,100,6.1NRT,327.72,1983.52,D
35.11153,-120.00511,470.93,1.99,1.38,2025-07-02,2248,Aqua,MODIS,100,6.1NRT,400.07,2737.87,D
35.10977,-120.02516,388.96,1.98,1.37,2025-07-02,2248,Aqua,MODIS,100,6.1NRT,330.77,462.2,D
35.10799,-120.04536,386.69,1.98,1.37,2025-07-02,2248,Aqua,MODIS,100,6.1NRT,321.29,440.52,D
